GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
checkout-service,com.tesis.ecommerce.checkoutservice.application.usecase,ProcessCheckoutUseCase,0,294,0,10,0,71,0,9,0,4
checkout-service,com.tesis.ecommerce.checkoutservice,CheckoutServiceApplication,8,0,0,0,3,0,2,0,2,0
checkout-service,com.tesis.ecommerce.checkoutservice.domain.model,InboxEvent,302,50,62,0,4,7,44,9,13,9
checkout-service,com.tesis.ecommerce.checkoutservice.domain.model,OrderItem,309,44,61,1,4,7,46,7,15,7
checkout-service,com.tesis.ecommerce.checkoutservice.domain.model,Order,384,64,78,0,6,7,55,11,16,11
checkout-service,com.tesis.ecommerce.checkoutservice.domain.model,PaymentAttempt,317,79,70,0,4,8,44,15,9,15
checkout-service,com.tesis.ecommerce.checkoutservice.domain.model,Order.OrderBuilder,40,77,1,3,0,1,4,10,3,9
checkout-service,com.tesis.ecommerce.checkoutservice.domain.model,OrderItem.OrderItemBuilder,29,58,1,1,0,1,3,8,2,8
checkout-service,com.tesis.ecommerce.checkoutservice.domain.model,CheckoutRequest.CheckoutRequestBuilder,30,58,1,1,0,1,3,8,2,8
checkout-service,com.tesis.ecommerce.checkoutservice.domain.model,CheckoutRequest,303,51,62,0,2,9,43,10,12,10
checkout-service,com.tesis.ecommerce.checkoutservice.domain.model,InboxEvent.InboxEventBuilder,20,66,0,2,0,1,1,10,1,9
checkout-service,com.tesis.ecommerce.checkoutservice.domain.model,PaymentAttempt.PaymentAttemptBuilder,31,65,1,1,0,1,3,9,2,9
checkout-service,com.tesis.ecommerce.checkoutservice.infrastructure.adapter.out.payment,StripeSimulatedPaymentAdapter,10,31,0,0,3,8,0,3,0,3
checkout-service,com.tesis.ecommerce.checkoutservice.infrastructure.adapter.out.messaging,RabbitEventPublisher,105,0,0,0,38,0,6,0,6,0
checkout-service,com.tesis.ecommerce.checkoutservice.application.dto,PaymentProcessedEvent.PaymentProcessedEventBuilder,16,49,0,0,0,1,1,8,1,8
checkout-service,com.tesis.ecommerce.checkoutservice.application.dto,CheckoutAcceptedEvent,273,31,54,0,6,4,42,4,15,4
checkout-service,com.tesis.ecommerce.checkoutservice.application.dto,CheckoutFailedEvent.CheckoutFailedEventBuilder,12,35,0,0,0,1,1,6,1,6
checkout-service,com.tesis.ecommerce.checkoutservice.application.dto,PaymentProcessedEvent,255,34,50,0,5,5,39,5,14,5
checkout-service,com.tesis.ecommerce.checkoutservice.application.dto,CheckoutCompletedEvent.CheckoutCompletedEventBuilder,10,28,0,0,0,1,1,5,1,5
checkout-service,com.tesis.ecommerce.checkoutservice.application.dto,CheckoutFailedEvent,187,29,38,0,3,5,29,5,10,5
checkout-service,com.tesis.ecommerce.checkoutservice.application.dto,CheckoutCompletedEvent,154,19,30,0,4,3,25,3,10,3
checkout-service,com.tesis.ecommerce.checkoutservice.application.dto,CheckoutRequestedEvent.CheckoutRequestedEventBuilder,19,49,0,0,0,1,1,8,1,8
checkout-service,com.tesis.ecommerce.checkoutservice.application.dto,CheckoutAcceptedEvent.CheckoutAcceptedEventBuilder,18,49,0,0,0,1,1,8,1,8
checkout-service,com.tesis.ecommerce.checkoutservice.application.dto,CheckoutRequestedEvent.CartItemDto,162,54,38,0,0,8,24,10,5,10
checkout-service,com.tesis.ecommerce.checkoutservice.application.dto,CheckoutRequestedEvent,228,77,54,0,0,10,33,13,6,13
checkout-service,com.tesis.ecommerce.checkoutservice.application.dto,CheckoutRequestedEvent.CartItemDto.CartItemDtoBuilder,12,35,0,0,0,1,1,6,1,6
checkout-service,com.tesis.ecommerce.checkoutservice.domain.port.out,PaymentPort.PaymentResult,0,12,0,0,0,5,0,1,0,1
checkout-service,com.tesis.ecommerce.checkoutservice.infrastructure.adapter.in.messaging,CheckoutEventConsumer,36,0,0,0,10,0,3,0,3,0
checkout-service,com.tesis.ecommerce.checkoutservice.infrastructure.config,RabbitMqConfig,120,0,0,0,43,0,18,0,18,0
checkout-service,com.tesis.ecommerce.checkoutservice.infrastructure.config,JacksonConfig,19,0,0,0,5,0,2,0,2,0
checkout-service,com.tesis.ecommerce.checkoutservice.infrastructure.adapter.in.web,HealthController,6,0,0,0,2,0,2,0,2,0
