GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core-api,com.tesis.ecommerce.coreapi.domain.model,Cart,37,55,0,0,1,11,7,11,7,11
core-api,com.tesis.ecommerce.coreapi.domain.model,Product,32,78,0,0,1,14,8,11,8,11
core-api,com.tesis.ecommerce.coreapi.domain.model,OutboxEvent.OutboxEventBuilder,38,48,3,3,0,1,7,4,4,4
core-api,com.tesis.ecommerce.coreapi.domain.model,Listing.ListingBuilder,26,110,0,8,0,1,1,15,1,11
core-api,com.tesis.ecommerce.coreapi.domain.model,OutboxEvent,38,38,0,0,4,5,8,8,8,8
core-api,com.tesis.ecommerce.coreapi.domain.model,Listing.ListingStatus,0,9,0,0,0,2,0,1,0,1
core-api,com.tesis.ecommerce.coreapi.domain.model,CheckoutRequest,11,99,0,0,1,11,3,20,3,20
core-api,com.tesis.ecommerce.coreapi.domain.model,CheckoutRequest.CheckoutStatus,0,21,0,0,0,2,0,1,0,1
core-api,com.tesis.ecommerce.coreapi.domain.model,Cart.CartBuilder,33,66,2,6,0,1,5,7,3,5
core-api,com.tesis.ecommerce.coreapi.domain.model,User,20,66,0,0,0,10,5,13,5,13
core-api,com.tesis.ecommerce.coreapi.domain.model,CartItem,32,58,0,0,1,10,7,11,7,11
core-api,com.tesis.ecommerce.coreapi.domain.model,Listing,51,69,0,0,2,11,10,15,10,15
core-api,com.tesis.ecommerce.coreapi.domain.model,User.UserBuilder,24,71,1,5,0,1,3,9,2,7
core-api,com.tesis.ecommerce.coreapi.domain.model,CheckoutRequest.CheckoutRequestBuilder,50,79,3,5,0,1,7,8,4,7
core-api,com.tesis.ecommerce.coreapi.domain.model,Product.ProductBuilder,26,58,0,0,0,1,2,9,2,9
core-api,com.tesis.ecommerce.coreapi.domain.model,CartItem.CartItemBuilder,27,61,1,3,0,1,3,8,2,7
core-api,com.tesis.ecommerce.coreapi.infrastructure.adapter.in.web.controller,CartController,73,0,0,0,18,0,5,0,5,0
core-api,com.tesis.ecommerce.coreapi.infrastructure.adapter.in.web.controller,AuthController,50,0,0,0,12,0,4,0,4,0
core-api,com.tesis.ecommerce.coreapi.infrastructure.adapter.in.web.controller,CheckoutController,33,0,0,0,9,0,3,0,3,0
core-api,com.tesis.ecommerce.coreapi.infrastructure.adapter.in.web.controller,ProductController,24,0,0,0,8,0,3,0,3,0
core-api,com.tesis.ecommerce.coreapi.infrastructure.adapter.in.web.controller,ListingController,45,0,0,0,14,0,4,0,4,0
core-api,com.tesis.ecommerce.coreapi.infrastructure.adapter.out.persistence,CartRepositoryAdapter,25,0,0,0,7,0,4,0,4,0
core-api,com.tesis.ecommerce.coreapi.infrastructure.adapter.out.persistence,ProductRepositoryAdapter,26,0,0,0,7,0,5,0,5,0
